Y	X1	X2	X3	X4	X5
27,8	397,5	42,2	50,7	78,3	65,8
29,9	413,3	38,1	52	79,2	66,9
29,8	439,2	40,3	54	79,2	67,8
30,8	459,7	39,5	55,3	79,2	69,6
31,2	492,9	37,3	54,7	77,4	68,7
35,6	528,6	38,1	63,7	80,2	73,6
36,4	560,3	39,3	69,8	80,4	76,3
36,4	624,6	37,3	65,9	83,9	77,2
36,7	666,4	38,4	64,5	85,5	78,1
38,4	717,8	40,1	70	93,7	84,7
40,4	768,2	38,6	73,2	106,1	93,3
40,3	843,3	39,8	67,8	104,8	89,7
41,8	911,6	39,7	79,1	114	100,7
40,4	931,1	52,1	95,4	124,1	113,5
40,7	1021,5	48,9	94,2	127,6	115,3
40,1	1165,9	58,3	123,5	142,9	136,7
42,7	1349,6	57,9	129,9	143,6	139,2
44,1	1449,4	56,5	117,6	139,2	132
46,7	1575,5	63,7	130,9	165,5	132,1
50,6	1759,1	61,6	129,8	203,3	154,4
50,1	1994,2	58,9	128	219,6	174,9
51,7	2258,1	66,4	141	221,6	180,8
52,9	2478,7	70,5	168,2	232,6	189,4
